'Changes'	'Edit Time'	'Compute Time'
0	4.110791	74.375805
1	4.283721	148.804363
2	4.4761299999999995	225.835546
3	4.8403279999999995	299.146553
4	5.192779	377.734813
5	5.429639	458.441425
6	5.755344	531.768956
7	5.804578	604.424345
8	6.1465760000000005	678.381798
9	6.191007000000001	754.006358
10	6.522369000000001	838.1354249999999
11	6.650791000000001	925.137981
12	6.904827000000001	1006.861039
13	7.189941000000001	1080.295226
14	7.401505000000001	1153.559318
15	7.446753000000001	1227.0096600000002
16	7.753738000000001	1300.4548810000001
17	7.931829000000001	1373.6752800000002
18	8.170240000000002	1447.7547570000002
19	8.494804000000002	1525.766391
20	8.581507000000002	1599.3889740000002
21	8.659392000000002	1672.7319530000002
22	8.663546000000002	1745.7943820000003
23	8.702452000000003	1817.5217140000002
24	8.852101000000003	1889.3178060000002
25	8.865584000000004	1961.7787890000002
26	9.124604000000003	2035.2698370000003
27	9.484649000000003	2108.6599170000004
28	9.839680000000003	2181.3583590000003
29	9.944681000000003	2259.2441780000004


0	6.331384	83.517806
1	6.389378	83.74528099999999
2	6.41283	83.895743
3	6.439229999999999	84.064771
4	6.4733909999999995	84.251779
5	6.527964	84.474184
6	6.564922	84.658744
7	6.600592	84.86009299999999
8	6.633102	85.05182699999999
9	6.682968	85.282023
10	6.729045	85.513303
11	6.773951	85.741338
12	6.798455000000001	85.893113
13	6.839586000000001	86.103334
14	6.877073	86.297466
15	6.913873000000001	86.490986
16	6.9508790000000005	86.68789600000001
17	6.987737	86.88712100000001
18	7.020968	87.06753
19	7.044922	87.215767
20	7.0952079999999995	87.51722
21	7.115697	87.663573
22	7.164975	87.90849
23	7.2068710000000005	88.124388
24	7.229573	88.264558
25	7.284471	88.51787599999999
26	7.311312	88.68320299999999
27	7.337207	88.84482499999999
28	7.379234	89.03429899999999
29	7.416008000000001	89.23137799999999
