'Changes'	'Edit Time'	'Filter Time'
0	4.540986	5.448632
1	4.661344000000001	10.802944
2	4.7788640000000004	15.953491
3	5.112101000000001	21.470053
4	5.366242000000001	27.215738
5	5.5386880000000005	32.631428
6	5.769609000000001	38.448622
7	5.804213000000001	44.032923
8	6.033984000000001	49.284003999999996
9	6.056899000000001	54.540108
10	6.416962000000002	59.839135
11	6.498122000000001	65.659516
12	6.638887000000001	70.749184
13	6.781961000000002	76.099906
14	6.9567450000000015	81.625791
15	6.989398000000001	87.21637000000001
16	7.196959000000001	92.96529300000002
17	7.301666000000002	98.33400900000002
18	7.466725000000002	104.32790600000003
19	7.686123000000002	109.59828400000002
20	7.740024000000002	114.78734800000002
21	7.808179000000002	120.31720400000002
22	7.811342000000002	125.72581100000002
23	7.831203000000001	130.94979400000003
24	7.914364000000001	136.312461
25	7.921926000000001	141.72116200000002
26	8.161200000000001	147.40545100000003
27	8.372312	152.59452300000004
28	8.564826	157.68088700000004
29	8.648466	163.27840300000005


0	7.754694	12.222374
1	7.820455	12.373135
2	7.850144	12.448756
3	7.882949	12.533942
4	7.928313	12.657531
5	7.982299	12.820683
6	8.023499000000001	12.933515
7	8.064153000000001	13.04377
8	8.100501000000001	13.149174
9	8.15276	13.29372
10	8.205814	13.441875
11	8.25664	13.583922
12	8.282383000000001	13.650075999999999
13	8.323688	13.777843999999998
14	8.359118	13.878733999999998
15	8.393521	13.978123999999998
16	8.42587	14.075551999999998
17	8.464278	14.179813999999999
18	8.499068	14.291725999999999
19	8.520824	14.351432999999998
20	8.566472	14.531818999999999
21	8.597097999999999	14.599747999999998
22	8.645332	14.758022999999998
23	8.684315	14.880564999999997
24	8.715207	14.932513999999998
25	8.769677999999999	15.096875999999998
26	8.797137999999999	15.169245999999998
27	8.822043999999998	15.243146999999997
28	8.850288999999998	15.317926999999997
29	8.887294999999998	15.423855999999997
