'Changes'	'Edit Time'	'Compute Time'
0	4.647254	3.119242
1	4.729357	5.947583
2	4.802518	8.779271999999999
3	4.963476	12.270012
4	5.133066	15.280604
5	5.292540000000001	18.393723
6	5.450471	21.368235000000002
7	5.469501	24.160775
8	5.60622	27.342563000000002
9	5.627516000000001	30.510926
10	5.773073000000001	33.295891000000005
11	5.818543000000001	36.083071000000004
12	5.926008000000001	38.801190000000005
13	6.019324000000001	41.573843000000004
14	6.094889000000001	44.288516
15	6.110529000000001	47.069618
16	6.216404000000002	49.802782
17	6.278080000000002	52.558489
18	6.377979000000002	55.271365
19	6.503103000000001	58.03262
20	6.5374750000000015	60.764594
21	6.565481000000002	63.477951000000004
22	6.566291000000002	66.189604
23	6.579092000000002	68.946251
24	6.635933000000002	71.65845
25	6.639811000000003	74.446791
26	6.743088000000003	77.163298
27	6.881752000000003	79.900539
28	7.012442000000004	82.610485
29	7.0502170000000035	85.343353


0	8.029497	6.459801
1	8.072095999999998	6.516896
2	8.090409999999999	6.542806
3	8.110831999999998	6.575652
4	8.137006999999999	6.618951
5	8.170820999999998	6.677716
6	8.199968999999998	6.724823
7	8.227477999999998	6.770922
8	8.251996999999998	6.811585
9	8.286409999999998	6.870135
10	8.322520999999998	6.9360740000000005
11	8.359129999999999	6.9954220000000005
12	8.3807	7.028405
13	8.418657999999999	7.0986780000000005
14	8.448191	7.148401000000001
15	8.476949	7.198034000000001
16	8.505144	7.248607000000001
17	8.535763	7.301566000000001
18	8.566744	7.3523450000000015
19	8.586638	7.382739000000002
20	8.629631	7.480623000000001
21	8.647987	7.510318000000002
22	8.691506	7.593942000000002
23	8.726589	7.655461000000002
24	8.744833	7.681934000000002
25	8.788205	7.762026000000001
26	8.811433	7.798332000000001
27	8.834553	7.836077000000001
28	8.860316	7.8779020000000015
29	8.893892999999998	7.936145000000002
