'Changes'	'Edit Time'	'Reverse Time'
0	4.362945	2.261311
1	4.519911	4.4470279999999995
2	4.623748999999999	6.19126
3	4.815236	7.932971
4	4.987641	9.594076000000001
5	5.095829	11.302743000000001
6	5.242659	13.045644000000001
7	5.264939	14.712399000000001
8	5.428794	16.385425
9	5.457964	18.154213000000002
10	5.650746	19.858946000000003
11	5.705172	21.534024000000002
12	5.8275820000000005	23.453927000000004
13	5.965096000000001	25.382168000000004
14	6.080357000000001	27.326429000000005
15	6.104636000000001	29.250017000000003
16	6.298200000000001	31.739604000000003
17	6.404635000000002	33.841955000000006
18	6.560367000000002	35.783460000000005
19	6.743074000000002	37.54014000000001
20	6.789792000000002	39.201558000000006
21	6.827386000000002	40.89782900000001
22	6.829209000000002	42.56883200000001
23	6.847609000000002	44.23496200000001
24	6.922837000000002	45.91830000000001
25	6.928586000000002	47.59507800000001
26	7.061642000000002	49.29632200000001
27	7.248310000000002	50.97037300000001
28	7.417746000000002	52.66055000000001
29	7.465099000000002	54.33261400000001


0	6.981993	24.43286
1	7.036922	24.569106
2	7.059086	24.649731000000003
3	7.083608	24.725085000000004
4	7.120763	24.836173000000002
5	7.164164	24.973822000000002
6	7.1969460000000005	25.076620000000002
7	7.2313600000000005	25.184234000000004
8	7.259946	25.289568000000003
9	7.303311	25.425344000000003
10	7.349085	25.579075000000003
11	7.404389999999999	25.760569000000004
12	7.429329999999999	25.841273000000005
13	7.470365999999999	25.988154000000005
14	7.505863	26.113843000000006
15	7.541824999999999	26.232617000000005
16	7.572374999999999	26.345737000000003
17	7.608465999999999	26.480081000000002
18	7.640743999999999	26.596819000000004
19	7.664579999999999	26.684305000000002
20	7.718103999999999	26.923255
21	7.740626999999999	27.002142000000003
22	7.794364999999999	27.201548000000003
23	7.837951999999999	27.352237000000002
24	7.861418999999999	27.426918
25	7.919573999999999	27.638339000000002
26	7.952573999999999	27.732349000000003
27	7.9788049999999995	27.821702000000002
28	8.008334999999999	27.920895
29	8.045404	28.048625
